Codigo;Nome;Barra;Submercado
301; 5G1605 _MMGD ;0; SE      
302; 5G1608 _MMGD ;0; SE      
303; 5G1610 _MMGD ;0; SE      
304; 5G1612 _MMGD ;0; SE      
305; 5G1617 _MMGD ;0; SE      
306; 5G1618 _MMGD ;0; SE      
307; 5G1621 _MMGD ;0; SE      
308; 5G1625 _MMGD ;0; SE      
309; 5G1627 _MMGD ;0; SE      
310; 5G1629 _MMGD ;0; SE      
311; 5G1630 _MMGD ;0; SE      
312; 5G1631 _MMGD ;0; SE      
313; 5G1632 _MMGD ;0; SE      
314; 5G1635 _MMGD ;0; SE      
315; 5G1636 _MMGD ;0; SE      
316; 5G1637 _MMGD ;0; SE      
317; 5G1638 _MMGD ;0; SE      
318; 5G1639 _MMGD ;0; SE      
319; 5G1640 _MMGD ;0; SE      
320; 5G1641 _MMGD ;0; SE      
321; 5G1642 _MMGD ;0; SE      
322; 5G1643 _MMGD ;0; SE      
323; 5G1645 _MMGD ;0; SE      
324; 5G1647 _MMGD ;0; SE      
325; 5G1650 _MMGD ;0; SE      
326; 5G1654 _MMGD ;0; SE      
327; 5G1655 _MMGD ;0; SE      
328; 5G1660 _MMGD ;0; SE      
329; 5G1668 _MMGD ;0; SE      
330; 5G1669 _MMGD ;0; SE      
331; 5G1678 _MMGD ;0; SE      
332; 5G1679 _MMGD ;0; SE      
333; 5G1682 _MMGD ;0; SE      
334; 5G1683 _MMGD ;0; SE      
335; 5G1692 _MMGD ;0; SE      
336; 5G1693 _MMGD ;0; SE      
337; 5G1695 _MMGD ;0; SE      
338; 5G1696 _MMGD ;0; SE      
339; 5G1697 _MMGD ;0; SE      
340; A3ARL  _AREA ;0; SE      
341; A3FAG  _Fagu ;0; SE      
342; A3PIB  _Piab ;0; SE      
343; A3MBU1 _Maca ;0; SE      
344; 5G1705 _MMGD ;0; SE      
345; 5G1706 _MMGD ;0; SE      
346; 5G1707 _MMGD ;0; SE      
347; A3CALH _CALH ;0; SE      
348; 5G1712 _MMGD ;0; SE      
349; 5G1715 _MMGD ;0; SE      
350; 5G1719 _MMGD ;0; SE      
351; 5G1722 _MMGD ;0; SE      
352; 5G1725 _MMGD ;0; SE      
353; 5G1729 _MMGD ;0; SE      
354; 5G1730 _MMGD ;0; SE      
355; 5G1731 _MMGD ;0; SE      
356; 5G1732 _MMGD ;0; SE      
357; 5G1733 _MMGD ;0; SE      
358; 5G1734 _MMGD ;0; SE      
359; 5G1736 _MMGD ;0; SE      
360; 5G1737 _MMGD ;0; SE      
361; 5G1738 _MMGD ;0; SE      
362; 5G1740 _MMGD ;0; SE      
363; 5G1742 _MMGD ;0; SE      
364; 5G1744 _MMGD ;0; SE      
365; A3CANA _CANA ;0; SE      
366; 5G1750 _MMGD ;0; SE      
367; A3TUD  _TUDE ;0; SE      
368; 5G1754 _MMGD ;0; SE      
369; 5G1759 _MMGD ;0; SE      
370; 5G1762 _MMGD ;0; SE      
371; 5G1764 _MMGD ;0; SE      
372; 5G1766 _MMGD ;0; SE      
373; A3STRD _Sant ;0; SE      
374; 5G1770 _MMGD ;0; SE      
375; 5G1771 _MMGD ;0; SE      
376; 5G1773 _MMGD ;0; SE      
377; 5G1774 _MMGD ;0; SE      
378; 5G1780 _MMGD ;0; SE      
379; 5G1789 _MMGD ;0; SE      
380; 5G1790 _MMGD ;0; SE      
381; A3PIRA _PIRA ;0; SE      
382; 5G1793 _MMGD ;0; SE      
383; 5G1823 _MMGD ;0; S       
384; 5G1825 _MMGD ;0; SE      
385; 5G1841 _MMGD ;0; SE      
386; 5G1842 _MMGD ;0; SE      
387; 5G1843 _MMGD ;0; SE      
388; 5G1844 _MMGD ;0; SE      
389; 5G1845 _MMGD ;0; SE      
390; 5G1846 _MMGD ;0; SE      
391; 5G1847 _MMGD ;0; S       
392; 5G1854 _MMGD ;0; SE      
393; 5G1855 _MMGD ;0; SE      
394; 5G1856 _MMGD ;0; SE      
395; 5G1857 _MMGD ;0; SE      
396; D1PAS  _PARA ;0; SE      
397; D1REVH _RETI ;0; SE      
398; D1UASU _Alto ;0; SE      
399; D1BURI _Buri ;0; SE      
400; D1UPPD _Port ;0; SE      
401; 5G1886 _MMGD ;0; SE      
402; 5G1891 _MMGD ;0; SE      
403; 5G1892 _MMGD ;0; SE      
404; VOVOT2 _CJT  ;0; SE      
405; D3UBUG _Bugr ;0; S       
406; D3UPIN _Pass ;0; S       
407; D3UTOC _Toca ;0; S       
408; 5G2053 _MMGD ;0; S       
409; 5G2055 _MMGD ;0; S       
410; 5G2056 _MMGD ;0; S       
411; 5G2065 _MMGD ;0; S       
412; D3ABNA _Abau ;0; S       
413; D3ENER _Ener ;0; S       
414; 5G2070 _MMGD ;0; S       
415; 5G2079 _MMGD ;0; S       
416; 5G2081 _MMGD ;0; S       
417; 5G2083 _MMGD ;0; S       
418; 5G2087 _MMGD ;0; S       
419; D3BIOR _Biot ;0; S       
420; D3CACH _Cach ;0; S       
421; D3RINO _Rinc ;0; S       
422; 5G2088 _MMGD ;0; S       
423; 5G2090 _MMGD ;0; S       
424; 5G2094 _MMGD ;0; S       
425; 5G2099 _MMGD ;0; S       
426; 5G2100 _MMGD ;0; SE      
427; A6UGP  _Gavi ;0; SE      
428; A4UAM  _Amer ;0; SE      
429; A6USP  _Pinh ;0; SE      
430; 5G2104 _MMGD ;0; SE      
431; 5G2105 _MMGD ;0; SE      
432; 5G2106 _MMGD ;0; SE      
433; 5G2107 _MMGD ;0; SE      
434; 5G2108 _MMGD ;0; SE      
435; 5G2110 _MMGD ;0; SE      
436; 5G2111 _MMGD ;0; SE      
437; 5G2113 _MMGD ;0; SE      
438; 5G2114 _MMGD ;0; SE      
439; 5G2116 _MMGD ;0; SE      
440; 5G2117 _MMGD ;0; SE      
441; 5G2119 _MMGD ;0; SE      
442; 5G2122 _MMGD ;0; SE      
443; 5G2124 _MMGD ;0; SE      
444; 5G2125 _MMGD ;0; SE      
445; 5G2127 _MMGD ;0; SE      
446; 5G2128 _MMGD ;0; SE      
447; 5G2130 _MMGD ;0; SE      
448; 5G2132 _MMGD ;0; SE      
449; 5G2133 _MMGD ;0; SE      
450; 5G2135 _MMGD ;0; SE      
451; 5G2136 _MMGD ;0; SE      
452; A4SAOI _SAO  ;0; SE      
453; A4SAOM _SAO  ;0; SE      
454; A6SMBI _Sao  ;0; SE      
455; A6YSD  _SANT ;0; SE      
456; 5G2138 _MMGD ;0; SE      
457; 5G2139 _MMGD ;0; SE      
458; 5G2140 _MMGD ;0; SE      
459; 5G2142 _MMGD ;0; SE      
460; 5G2143 _MMGD ;0; SE      
461; 5G2145 _MMGD ;0; SE      
462; 5G2146 _MMGD ;0; SE      
463; 5G2147 _MMGD ;0; SE      
464; 5G2149 _MMGD ;0; SE      
465; 5G2150 _MMGD ;0; SE      
466; A4LOBO _SALT ;0; SE      
467; 5G2151 _MMGD ;0; SE      
468; 5G2153 _MMGD ;0; SE      
469; 5G2157 _MMGD ;0; SE      
470; 5G2159 _MMGD ;0; SE      
471; 5G2160 _MMGD ;0; SE      
472; 5G2161 _MMGD ;0; SE      
473; 5G2162 _MMGD ;0; SE      
474; 5G2165 _MMGD ;0; SE      
475; 5G2166 _MMGD ;0; SE      
476; 5G2167 _MMGD ;0; SE      
477; 5G2168 _MMGD ;0; SE      
478; 5G2169 _MMGD ;0; SE      
479; 5G2171 _MMGD ;0; SE      
480; 5G2172 _MMGD ;0; SE      
481; 5G2174 _MMGD ;0; SE      
482; 5G2177 _MMGD ;0; SE      
483; 5G2179 _MMGD ;0; SE      
484; 5G2181 _MMGD ;0; SE      
485; 5G2183 _MMGD ;0; SE      
486; 5G2184 _MMGD ;0; SE      
487; 5G2187 _MMGD ;0; SE      
488; 5G2188 _MMGD ;0; SE      
489; 5G2189 _MMGD ;0; SE      
490; 5G2190 _MMGD ;0; SE      
491; 5G2194 _MMGD ;0; SE      
492; 5G2195 _MMGD ;0; SE      
493; 5G2196 _MMGD ;0; SE      
494; 5G2198 _MMGD ;0; SE      
495; 5G2199 _MMGD ;0; SE      
496; 5G2200 _MMGD ;0; SE      
497; 5G2206 _MMGD ;0; SE      
498; 5G2208 _MMGD ;0; SE      
499; 5G2212 _MMGD ;0; SE      
500; 5G2215 _MMGD ;0; SE      
501; 5G2216 _MMGD ;0; SE      
502; 5G2217 _MMGD ;0; SE      
503; 5G2220 _MMGD ;0; SE      
504; 5G2221 _MMGD ;0; SE      
505; 5G2222 _MMGD ;0; SE      
506; 5G2223 _MMGD ;0; SE      
