Codigo;Nome;VolInic;Vmin;Vmax;Tipo;Jusante;Desvio;Submercado;PenalVert;PenalTurb;ProdEsp;Turbina;Perda
97; CASTRO ALVES ;92.46;92.46;92.46;FD     ;98;   -   ; S      ;0.2;0.8;0.008954;Kaplan;6.619
98; MONTE CLARO  ;11.35;11.35;11.35;FD     ;99;   -   ; S      ;0.2;0.8;0.008916;Kaplan;1.389
99; 14 DE JULHO  ;55.42;55.42;55.42;FD     ;   -   ;   -   ; S      ;0.2;0.8;0.008927;Kaplan;0.738
101; SAO JOSE     ;178.85;178.85;178.85;FD     ;102;   -   ; S      ;0.2;0.8;0.008909;Kaplan;0.247
102; PASSO S JOAO ;95.99;95.99;95.99;FD     ;   -   ;   -   ; S      ;0.2;0.8;0.008935;Kaplan;0.374
103; FOZ CHAPECO  ;1455.68;1427.5;1501.8;RV     ;   -   ;   -   ; S      ;0.2;0.8;0.00887;Kaplan;1.395
107; EDGARD SOUZA ;0.46;0.1;1;RV     ;37;108; SE     ;0.2;0.8;0;Kaplan;0
108; TRAICAO      ;0.1;0.1;1;RV     ;107;   -   ; SE     ;0.2;0.8;0;Kaplan;0
109; PEDREIRA     ;0.1;0.1;1;RV     ;108;   -   ; SE     ;0.2;0.8;0;Kaplan;0
110; ERNESTINA    ;219.47;21;259;RV     ;111;   -   ; S      ;0.2;0.8;0;Kaplan;0
111; PASSO REAL   ;1965.15;289;3646;RV     ;112;   -   ; S      ;0.2;0.8;0.009048;Kaplan;0.695
112; JACUI        ;24.14;4.61;29;RV     ;113;   -   ; S      ;0.2;0.8;0.008731;Kaplan;2.55
113; ITAUBA       ;552.8;461.8;620;RV     ;114;   -   ; S      ;0.2;0.8;0.00908;Kaplan;3.297
114; D. FRANCISCA ;295.52;267.44;330;RV     ;   -   ;   -   ; S      ;0.2;0.8;0.008765;Kaplan;0.362
115; G.P. SOUZA   ;87.88;23;179;RV     ;   -   ;   -   ; S      ;0.2;0.8;0.008756;Kaplan;23.775
117; GUARAPIRANGA ;114.28;0.77;189.96;RV     ;108;   -   ; SE     ;0.2;0.8;0;Kaplan;0
118; BILLINGS     ;679.98;0.98;1132.65;RV     ;109;119; SE     ;0.2;0.8;0;Kaplan;0
119; HENRY BORDEN ;1;1;1;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.007939;Kaplan;10.666
120; JAGUARI      ;920.15;443;1236;RV     ;123;   -   ; SE     ;0.2;0.8;0.008536;Kaplan;0.422
121; PARAIBUNA    ;3573.74;2096;4732;RV     ;122;   -   ; SE     ;0.2;0.8;0.008702;Kaplan;2.139
122; SANTA BRANCA ;262.27;131;439;RV     ;123;   -   ; SE     ;0.2;0.8;0.00896;Kaplan;0.605
123; FUNIL        ;737.66;283;888;RV     ;125;   -   ; SE     ;0.2;0.8;0.008616;Kaplan;1.041
124; LAJES        ;267.21;0.01;445.35;RV     ;146;147; SE     ;0.2;0.8;0;Kaplan;0
125; STA CECILIA  ;6;6;6;FD     ;129;   -   ; SE     ;0.2;0.8;0;Kaplan;0
126; PICADA       ;7;7;7;FD     ;127;   -   ; SE     ;0.2;0.8;0.008895;Kaplan;3.028
127; SOBRAGI      ;1;1;1;FD     ;129;   -   ; SE     ;0.2;0.8;0.008933;Kaplan;1.572
129; SIMPLICIO    ;126.5;126.5;126.5;FD     ;130;   -   ; SE     ;0.2;0.8;0.008865;Kaplan;1.103
130; ILHA POMBOS  ;8;8;8;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008484;Kaplan;0.303
131; NILO PECANHA ;38;38;38;FD     ;133;   -   ; SE     ;0.2;0.8;0.008729;Kaplan;3.602
133; P. PASSOS    ;17;17;17;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008602;Kaplan;0.43
134; SALTO GRANDE ;78;78;78;FD     ;135;   -   ; SE     ;0.2;0.8;0.008646;Kaplan;4.993
135; P. ESTRELA   ;95.37;95.37;95.37;FD     ;141;   -   ; SE     ;0.2;0.8;0.008977;Kaplan;0.409
139; CANDONGA     ;29.75;29.75;29.75;FD     ;141;   -   ; SE     ;0.2;0.8;0.009074;Kaplan;0.4
141; BAGUARI      ;32.46;32.46;32.46;FD     ;143;   -   ; SE     ;0.2;0.8;0.008978;Kaplan;0.201
143; AIMORES      ;179.25;179.25;179.25;FD     ;144;   -   ; SE     ;0.2;0.8;0.008926;Kaplan;0.315
144; MASCARENHAS  ;21.68;21.68;21.68;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008953;Kaplan;0.174
145; SUICA        ;0.35;0.35;0.35;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008795;Kaplan;10.04
146; FONTES C     ;467;467;467;FD     ;133;   -   ; SE     ;0.2;0.8;0.008818;Kaplan;18.35
147; FONTES AB    ;38;38;38;FD     ;133;   -   ; SE     ;0.2;0.8;0.008743;Kaplan;13.13
148; IRAPE        ;5752.14;2267.94;5963.92;RV     ;154;   -   ; SE     ;0.2;0.8;0.008719;Kaplan;2
153; SAO DOMINGOS ;126.24;116.45;131.3;RV     ;46;   -   ; SE     ;0.2;0.8;0.008947;Kaplan;0.48
154; ITAPEBI      ;1608.7;1565.27;1633.56;RV     ;   -   ;   -   ; NE     ;0.2;0.8;0.008842;Kaplan;0.883
155; RETIRO BAIXO ;234.98;200.72;241.59;RV     ;156;   -   ; SE     ;0.2;0.8;0.00896;Kaplan;0.552
156; TRES MARIAS  ;19528;4250;19528;RV     ;169;   -   ; SE     ;0.2;0.8;0.008717;Kaplan;0.597
162; QUEIMADO     ;536.18;95.25;557;RV     ;169;   -   ; SE     ;0.2;0.8;0.008911;Kaplan;2.465
169; SOBRADINHO   ;31358.04;5447;34116;RV     ;172;   -   ; NE     ;0.2;0.8;0.008881;Kaplan;0.168
172; ITAPARICA    ;8686.91;7234;10782;RV     ;173;   -   ; NE     ;0.2;0.8;0.008739;Kaplan;0.503
173; MOXOTO       ;1226;1226;1226;FD     ;174;175; NE     ;0.2;0.8;0.008973;Kaplan;0.22
174; P.AFONSO 123 ;26;26;26;FD     ;178;   -   ; NE     ;0.2;0.8;0.008792;Kaplan;1.08
175; P.AFONSO 4   ;121;121;121;FD     ;178;   -   ; NE     ;0.2;0.8;0.009086;Kaplan;0.852
178; XINGO        ;3773.03;3738;3800;RV     ;   -   ;   -   ; NE     ;0.2;0.8;0.009014;Kaplan;0.84
180; TOCOS        ;0.7;0.04;1.14;RV     ;181;124; SE     ;0.2;0.8;0;Kaplan;0
181; SANTANA      ;10.11;5.47;13.2;RV     ;129;   -   ; SE     ;0.2;0.8;0;Kaplan;0
182; VIGARIO      ;17.48;10.88;21.89;RV     ;131;147; SE     ;0.2;0.8;0;Kaplan;0
185; BARRA BRAUNA ;34;34;34;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008731;Kaplan;0.5
189; P. CAVALO    ;3134;2192;3134;RV     ;   -   ;   -   ; NE     ;0.2;0.8;0.00892;Kaplan;1.352
190; B. ESPERANCA ;4917.13;3173;5085;RV     ;   -   ;   -   ; NE     ;0.2;0.8;0.008935;Kaplan;0.525
192; GUILMAN-AMOR ;12;12;12;FD     ;193;   -   ; SE     ;0.2;0.8;0.008778;Kaplan;3.151
193; SA CARVALHO  ;1;1;1;FD     ;141;   -   ; SE     ;0.2;0.8;0.008649;Kaplan;7.82
195; JAURU        ;17.15;17.15;17.15;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008912;Kaplan;1.476
196; GUAPORE      ;21;21;21;FD     ;285;   -   ; SE     ;0.2;0.8;0.008922;Kaplan;1.734
203; CORUMBA III  ;890.55;709;972;RV     ;30;   -   ; SE     ;0.2;0.8;0.008795;Kaplan;0.835
204; CACH.CALDEIR ;230.56;230.56;230.56;FD     ;280;   -   ; N      ;0.2;0.8;0.009037;Kaplan;0.32
215; SALTO PILAO  ;0.28;0.28;0.28;FD     ;   -   ;   -   ; S      ;0.2;0.8;0.008916;Kaplan;7.774
217; ROSAL        ;11;11;11;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008881;Kaplan;3.887
225; SLT APIACAS  ;2.08;2.08;2.08;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008662;Kaplan;0.89
227; SINOP        ;2414.65;1012.4;3071.2;RV     ;228;   -   ; SE     ;0.2;0.8;0.009103;Kaplan;0.31
228; COLIDER      ;1525;1525;1525;FD     ;229;   -   ; SE     ;0.2;0.8;0.009153;Kaplan;0.35
229; TELES PIRES  ;897.22;897.22;897.22;FD     ;230;   -   ; SE     ;0.2;0.8;0.009035;Kaplan;0.86
230; SAO MANOEL   ;577.22;577.22;577.22;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.009153;Kaplan;0.27
241; SLT VERDINHO ;264.48;264.48;264.48;FD     ;34;   -   ; SE     ;0.2;0.8;0.008752;Kaplan;0.576
249; OURINHOS     ;20.82;20.82;20.82;FD     ;50;   -   ; SE     ;0.2;0.8;0.008686;Kaplan;0.094
251; SERRA MESA   ;38107.72;11150;54400;RV     ;252;   -   ; SE     ;0.2;0.8;0.009093;Kaplan;1.254
252; CANA BRAVA   ;2194.35;1909;2300;RV     ;253;   -   ; SE     ;0.2;0.8;0.00887;Kaplan;1.037
253; SAO SALVADOR ;914.89;892.88;952.01;RV     ;257;   -   ; SE     ;0.2;0.8;0.009024;Kaplan;0.583
257; PEIXE ANGIC  ;2735.88;2212.7;2741;RV     ;261;   -   ; SE     ;0.2;0.8;0.009041;Kaplan;0.426
261; LAJEADO      ;5134.39;4711.11;5193.48;RV     ;267;   -   ; SE     ;0.2;0.8;0.00904;Kaplan;0.426
262; SALTO        ;826.06;826.06;826.06;FD     ;241;   -   ; SE     ;0.2;0.8;0.008879;Kaplan;0.675
267; ESTREITO TOC ;4268.07;2907.66;5298.54;RV     ;275;   -   ; N      ;0.2;0.8;0.009079;Kaplan;0.333
272; CURUA-UNA    ;564.57;133;602;RV     ;   -   ;   -   ; N      ;0.2;0.8;0.008715;Kaplan;0.126
275; TUCURUI      ;48162.18;11293;50275;RV     ;   -   ;   -   ; N      ;0.2;0.8;0.00906;Kaplan;0.902
276; RONDON II    ;478.29;192.17;478.29;RV     ;   -   ;   -   ; SE     ;0.2;0.8;0.008721;Kaplan;1.756
277; BALBINA      ;14626.41;9711.9;20006.22;RV     ;   -   ;   -   ; N      ;0.2;0.8;0.008978;Kaplan;0.295
278; MANSO        ;7201.25;4386;7337;RV     ;   -   ;   -   ; SE     ;0.2;0.8;0.008598;Kaplan;0.488
279; SAMUEL       ;3400.61;943.23;3493.44;RV     ;   -   ;   -   ; SE     ;0.2;0.8;0.008932;Kaplan;0.24
280; COARACY NUNE ;135.38;135.38;135.38;FD     ;284;   -   ; N      ;0.2;0.8;0.008918;Kaplan;0.32
281; PONTE PEDRA  ;199;199;199;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.009168;Kaplan;2.52
283; STA CLARA MG ;146;146;146;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008712;Kaplan;0.599
284; FERREIRA GOM ;137.31;137.31;137.31;FD     ;   -   ;   -   ; N      ;0.2;0.8;0.008937;Kaplan;0.203
285; JIRAU        ;2746.7;1249.83;2746.7;RV     ;287;   -   ; SE     ;0.2;0.8;0.009065;Kaplan;0.157
286; STO ANT JARI ;133.39;104.61;133.39;RV     ;   -   ;   -   ; N      ;0.2;0.8;0.00898;Kaplan;0.293
287; STO ANTONIO  ;2282.8;2077.3;2282.8;RV     ;   -   ;   -   ; SE     ;0.2;0.8;0.008819;Kaplan;0.135
288; BELO MONTE   ;2244.02;2244.02;2244.02;FD     ;   -   ;   -   ; N      ;0.2;0.8;0.009119;Kaplan;1.61
290; ESPORA       ;199.96;71;209;RV     ;34;   -   ; SE     ;0.2;0.8;0.008731;Kaplan;5.2
304; ITIQUIRA I   ;5;5;5;FD     ;305;   -   ; SE     ;0.2;0.8;0.008793;Kaplan;4.278
305; ITIQUIRA II  ;1;1;1;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008968;Kaplan;2.621
309; JURUENA      ;2.14;2.14;2.14;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.009043;Kaplan;1.47
310; DARDANELOS   ;0.12;0.12;0.12;FD     ;   -   ;   -   ; SE     ;0.2;0.8;0.008917;Kaplan;1.5
311; CACU         ;214.08;214.08;214.08;FD     ;312;   -   ; SE     ;0.2;0.8;0.008951;Kaplan;0.207
312; B. COQUEIROS ;321.43;321.43;321.43;FD     ;315;   -   ; SE     ;0.2;0.8;0.008934;Kaplan;0.408
314; PIMENTAL     ;1966.35;1770.93;2276.29;RV     ;   -   ;288; N      ;0.2;0.8;0.008861;Kaplan;0.13
315; FOZ R. CLARO ;95.33;95.33;95.33;FD     ;34;   -   ; SE     ;0.2;0.8;0.008978;Kaplan;0.074
