Codigo;Nome;Conjunto;Unidade;Pmin;Pmax;Ton;Toff;StatusInic;Tinic;Barra;MaxTurb;CustoPartida;CustoDesliga;Hef
174; P.AFONSO 123 ;3;1;7.5;75;0;0;0;0;0;104;0;0;82
174; P.AFONSO 123 ;4;3;7.6;76;0;0;0;0;0;106;0;0;81.5
174; P.AFONSO 123 ;5;4;19.855;198.55;0;0;0;0;0;258;0;0;87.5
175; P.AFONSO 4   ;1;6;41.04;410.4;0;0;0;0;0;401;0;0;112.5
178; XINGO        ;1;6;52.7;527;0;0;0;0;0;502;0;0;116.4
185; BARRA BRAUNA ;1;3;1.3;13;0;0;0;0;0;64;0;0;23.43
189; P. CAVALO    ;1;2;8;80;0;0;0;0;0;90;0;0;100.15
190; B. ESPERANCA ;1;2;5.5;55;0;0;0;0;0;146;0;0;42.1
190; B. ESPERANCA ;2;2;6.365;63.65;0;0;0;0;0;169;0;0;42.1
192; GUILMAN-AMOR ;1;4;3.5;35;0;0;0;0;0;34;0;0;116.8
193; SA CARVALHO  ;1;2;1.5;15;0;0;0;0;0;16;0;0;108.6
193; SA CARVALHO  ;2;1;1.8;18;0;0;0;0;0;19;0;0;108.6
193; SA CARVALHO  ;3;1;3;30;0;0;0;0;0;32;0;0;108.6
195; JAURU        ;1;2;3.93;39.3;0;0;0;0;0;43;0;0;102.86
195; JAURU        ;2;1;3.94;39.4;0;0;0;0;0;43;0;0;102.86
196; GUAPORE      ;1;3;4;40;0;0;0;0;0;27;0;0;166.8
203; CORUMBA III  ;1;1;4.78;47.8;0;0;0;0;0;142;0;0;38.2
203; CORUMBA III  ;2;1;4.864;48.64;0;0;0;0;0;145;0;0;38.2
204; CACH.CALDEIR ;1;3;7.3;73;0;0;0;0;0;547;0;0;14.77
215; SALTO PILAO  ;1;2;9.594;95.94;0;0;0;0;0;55;0;0;194
217; ROSAL        ;1;2;2.75;27.5;0;0;0;0;0;17;0;0;186
225; SLT APIACAS  ;1;3;1.5;15;0;0;0;0;0;68;0;0;25.61
227; SINOP        ;1;2;20.094;200.94;0;0;0;0;0;800;0;0;27.6
228; COLIDER      ;1;3;10;100;0;0;0;0;0;517;0;0;21.12
229; TELES PIRES  ;1;5;36.396;363.96;0;0;0;0;0;772;0;0;52.2
230; SAO MANOEL   ;1;4;18.396;183.96;0;0;0;0;0;920;0;0;21.85
241; SLT VERDINHO ;1;2;4.65;46.5;0;0;0;0;0;135;0;0;39.4
249; OURINHOS     ;1;3;1.467;14.67;0;0;0;0;0;169;0;0;10
