PeriodoInicial;PeriodoFinal;CodigoUsina;NomeUsina;Variavel;Linf;Lsup
I;F;169; SOBRADINHO    ;DEFLU;800;     -     
I;F;178; XINGO         ;DEFLU;1100;     -     
I;F;162; QUEIMADO      ;DEFLU;8.8;     -     
I;F;148; IRAPE         ;DEFLU;23.4;     -     
I;F;10; IGARAPAVA     ;DEFLU;172;     -     
I;F;28; CAPIM BRANC2  ;DEFLU;72;     -     
I;F;1; CAMARGOS      ;DEFLU;     -     ;1000
I;F;4; FUNIL-GRANDE  ;DEFLU;70;     -     
I;F;143; AIMORES       ;DEFLU;80;     -     
I;F;4; FUNIL-GRANDE  ;DEFLU;     -     ;1600
I;F;162; QUEIMADO      ;DEFLU;     -     ;280
I;F;134; SALTO GRANDE  ;DEFLU;12.71;     -     
I;F;25; NOVA PONTE    ;DEFLU;55;     -     
I;F;27; CAPIM BRANC1  ;DEFLU;72;     -     
I;F;156; TRES MARIAS   ;DEFLU;     -     ;2000
I;F;24; EMBORCACAO    ;DEFLU;48;     -     
I;F;25; NOVA PONTE    ;DEFLU;     -     ;2732
I;F;190; B. ESPERANCA  ;DEFLU;     -     ;1600
I;F;190; B. ESPERANCA  ;DEFLU;240;     -     
I;F;169; SOBRADINHO    ;DEFLU;     -     ;8000
I;F;178; XINGO         ;DEFLU;     -     ;8000
I;F;174; P.AFONSO 123  ;DEFLU;210;     -     
I;F;178; XINGO         ;DEFLU;800;     -     
I;F;169; SOBRADINHO    ;DEFLU;800;     -     
I;F;139; CANDONGA      ;DEFLU;58;     -     
I;F;135; P. ESTRELA    ;DEFLU;10;     -     
I;F;135; P. ESTRELA    ;DEFLU;     -     ;2000
I;F;29; CORUMBA IV    ;DEFLU;13.7;     -     
I;F;204; CACH.CALDEIR  ;DEFLU;52.5;     -     
I;F;144; MASCARENHAS   ;DEFLU;210;     -     
I;F;261; LAJEADO       ;DEFLU;255;     -     
I;F;277; BALBINA       ;DEFLU;     -     ;1400
I;F;32; CACH.DOURADA  ;DEFLU;20;     -     
I;F;32; CACH.DOURADA  ;DEFLU;     -     ;10000
I;F;11; VOLTA GRANDE  ;DEFLU;     -     ;5000
I;F;11; VOLTA GRANDE  ;DEFLU;178;     -     
I;F;53; PARANAPANEMA  ;DEFLU;     -     ;1653
I;F;26; MIRANDA       ;DEFLU;     -     ;3600
I;F;9; JAGUARA       ;DEFLU;     -     ;4300
I;F;77; SLT.SANTIAGO  ;DEFLU;     -     ;19000
I;F;91; MACHADINHO    ;DEFLU;120;     -     
I;F;9; JAGUARA       ;DEFLU;168;     -     
I;F;267; ESTREITO TOC  ;DEFLU;744;     -     
I;F;252; CANA BRAVA    ;DEFLU;90;     -     
I;F;253; SAO SALVADOR  ;DEFLU;90;     -     
I;F;26; MIRANDA       ;DEFLU;135;     -     
I;F;92; ITA           ;DEFLU;150;     -     
I;F;281; PONTE PEDRA   ;DEFLU;45;     -     
I;F;78; SALTO OSORIO  ;DEFLU;60;     -     
I;F;275; TUCURUI       ;DEFLU;2000;     -     
I;F;102; PASSO S JOAO  ;DEFLU;43;     -     
I;F;153; SAO DOMINGOS  ;DEFLU;102.22;     -     
I;F;119; HENRY BORDEN  ;DEFLU;6;     -     
I;F;118; BILLINGS      ;DEFLU;     -     ;0
I;F;192; GUILMAN-AMOR  ;DEFLU;10;     -     
I;F;257; PEIXE ANGIC   ;DEFLU;360;     -     
I;F;103; FOZ CHAPECO   ;DEFLU;200;     -     
I;F;95; QUEBRA QUEIX  ;DEFLU;110;     -     
I;F;123; FUNIL         ;DEFLU;70;     -     
I;F;30; CORUMBA I     ;DEFLU;120;     -     
I;F;31; ITUMBIARA     ;DEFLU;     -     ;7000
I;F;6; FURNAS        ;DEFLU;     -     ;4000
I;F;7; M. DE MORAES  ;DEFLU;     -     ;4400
I;F;8; ESTREITO      ;DEFLU;     -     ;4500
I;F;12; P. COLOMBIA   ;DEFLU;     -     ;7000
I;F;17; MARIMBONDO    ;DEFLU;     -     ;6000
I;F;278; MANSO         ;DEFLU;     -     ;1550
I;F;31; ITUMBIARA     ;DEFLU;70;     -     
I;F;6; FURNAS        ;DEFLU;131;     -     
I;F;7; M. DE MORAES  ;DEFLU;149;     -     
I;F;8; ESTREITO      ;DEFLU;153;     -     
I;F;12; P. COLOMBIA   ;DEFLU;189;     -     
I;F;17; MARIMBONDO    ;DEFLU;312;     -     
I;F;20; BATALHA       ;DEFLU;30.1;     -     
I;F;120; JAGUARI       ;DEFLU;4;     -     
I;F;120; JAGUARI       ;DEFLU;     -     ;60
I;F;278; MANSO         ;DEFLU;80;     -     
I;F;123; FUNIL         ;DEFLU;     -     ;700
I;F;251; SERRA MESA    ;DEFLU;300;     -     
I;F;101; SAO JOSE      ;DEFLU;43.8;     -     
I;F;305; ITIQUIRA II   ;DEFLU;40;     -     
I;F;285; JIRAU         ;DEFLU;3240;     -     
