Codigo;Nome;Barra;Submercado
190; 5G1310 _MMGD ;1310; S       
191; 5G1311 _MMGD ;1311; S       
192; 5G1314 _MMGD ;1314; S       
193; 5G1324 _MMGD ;1324; S       
194; 5G1328 _MMGD ;1328; S       
195; D3COOP _Coop ;1328; S       
196; 5G1331 _MMGD ;1331; S       
197; D3RFAP _REFA ;1332; S       
198; 5G1343 _MMGD ;1343; S       
199; D3MERC _Merc ;1343; S       
200; 3RUECI _CIDR ;1347; S       
201; 5G1352 _MMGD ;1352; S       
202; 5G1360 _MMGD ;1360; S       
203; 5G1362 _MMGD ;1362; S       
204; EFLBA  _CJLB ;1369; S       
205; EFLBA  _CJLB ;1370; S       
206; EFLBA  _CJLB ;1371; S       
207; D3SALT _Salt ;1383; S       
208; 5G1387 _MMGD ;1387; S       
209; 5G1388 _MMGD ;1388; S       
210; 5G1389 _MMGD ;1389; S       
211; 5G1393 _MMGD ;1393; SE      
212; 5G1397 _MMGD ;1397; SE      
213; 5G1398 _MMGD ;1398; SE      
214; 5G1399 _MMGD ;1399; SE      
215; 5G1474 _MMGD ;1474; SE      
216; 5G1477 _MMGD ;1477; SE      
217; 5G1478 _MMGD ;1478; SE      
218; 5G1480 _MMGD ;1480; SE      
219; 5G1481 _MMGD ;1481; SE      
220; A2ENER _ENER ;1483; SE      
221; A5UTVP _Bioe ;1483; SE      
222; 5G1484 _MMGD ;1484; SE      
223; 5G1485 _MMGD ;1485; SE      
224; 5G1486 _MMGD ;1486; SE      
225; 5G1487 _MMGD ;1487; SE      
226; 5G1488 _MMGD ;1488; SE      
227; 5G1489 _MMGD ;1489; SE      
228; 5G1491 _MMGD ;1491; SE      
229; 5G1492 _MMGD ;1492; SE      
230; 5G1493 _MMGD ;1493; SE      
231; A2CRIS _CRIS ;1504; SE      
232; A2LDAS _Luiz ;1504; SE      
233; A2NINH _NINH ;1504; SE      
234; A5REPI _REDE ;1504; SE      
235; 5G1506 _MMGD ;1506; SE      
236; 5G1508 _MMGD ;1508; SE      
237; 5G1509 _MMGD ;1509; SE      
238; 5G1510 _MMGD ;1510; SE      
239; 5G1512 _MMGD ;1512; SE      
240; 5G1513 _MMGD ;1513; SE      
241; 5G1516 _MMGD ;1516; SE      
242; 5G1519 _MMGD ;1519; SE      
243; 5G1521 _MMGD ;1521; SE      
244; 5G1524 _MMGD ;1524; SE      
245; 5G1526 _MMGD ;1526; SE      
246; 5G1527 _MMGD ;1527; SE      
247; 5G1528 _MMGD ;1528; SE      
248; 5G1532 _MMGD ;1532; SE      
249; A2ANTO _ANTO ;1532; SE      
250; A2CGR1 _COCA ;1532; SE      
251; A2CGR2 _COCA ;1532; SE      
252; 5G1533 _MMGD ;1533; SE      
253; 5G1536 _MMGD ;1536; SE      
254; A5SAOG _SAO  ;1537; SE      
255; 5G1538 _MMGD ;1538; SE      
256; 5G1539 _MMGD ;1539; SE      
257; 5G1540 _MMGD ;1540; SE      
258; 5G1541 _MMGD ;1541; SE      
259; 5G1542 _MMGD ;1542; SE      
260; 5G1543 _MMGD ;1543; SE      
261; 5G1544 _MMGD ;1544; SE      
262; 5G1546 _MMGD ;1546; SE      
263; 5G1548 _MMGD ;1548; SE      
264; 5G1549 _MMGD ;1549; SE      
265; 5G1550 _MMGD ;1550; SE      
266; 5G1551 _MMGD ;1551; SE      
267; 5G1552 _MMGD ;1552; SE      
268; 5G1553 _MMGD ;1553; SE      
269; 5G1554 _MMGD ;1554; SE      
270; 5G1555 _MMGD ;1555; SE      
271; 5G1556 _MMGD ;1556; SE      
272; 5G1557 _MMGD ;1557; SE      
273; 5G1558 _MMGD ;1558; SE      
274; 5G1561 _MMGD ;1561; SE      
275; 5G1564 _MMGD ;1564; SE      
276; 5G1565 _MMGD ;1565; SE      
277; A2CABC _CABO ;1566; SE      
278; A2CACA _CACH ;1566; SE      
279; A2FUMA _FUMA ;1566; SE      
280; A2FUNL _FUNI ;1566; SE      
281; A2FURQ _FURQ ;1566; SE      
282; A5SALT _SALT ;1566; SE      
283; A2GABR _GABR ;1567; SE      
284; 5G1570 _MMGD ;1570; SE      
285; A2FARA _FARI ;1570; SE      
286; A5PTGS _PITA ;1570; SE      
287; 5G1572 _MMGD ;1572; SE      
288; 5G1573 _MMGD ;1573; SE      
289; 5G1577 _MMGD ;1577; SE      
290; 5G1578 _MMGD ;1578; SE      
291; 5G1579 _MMGD ;1579; SE      
292; 5G1580 _MMGD ;1580; SE      
293; 5G1581 _MMGD ;1581; SE      
294; 5G1582 _MMGD ;1582; SE      
295; 5G1583 _MMGD ;1583; SE      
296; 5G1587 _MMGD ;1587; SE      
297; 5G1588 _MMGD ;1588; SE      
298; 5G1600 _MMGD ;1600; SE      
