Codigo;Nome;Barra;Submercado
614; 5G2357 _MMGD ;2357; S       
615; 5G2358 _MMGD ;2358; S       
616; 5G2359 _MMGD ;2359; S       
617; 5G2361 _MMGD ;2361; S       
618; 5G2365 _MMGD ;2365; S       
619; 5G2378 _MMGD ;2378; S       
620; 5G2380 _MMGD ;2380; S       
621; 5G2381 _MMGD ;2381; S       
622; 5G2383 _MMGD ;2383; S       
623; 5G2384 _MMGD ;2384; S       
624; 5G2385 _MMGD ;2385; S       
625; 5G2386 _MMGD ;2386; S       
626; 5G2387 _MMGD ;2387; S       
627; 5G2388 _MMGD ;2388; S       
628; 5G2389 _MMGD ;2389; S       
629; 5G2392 _MMGD ;2392; S       
630; 5G2398 _MMGD ;2398; S       
631; 5G2400 _MMGD ;2400; S       
632; 5G2408 _MMGD ;2408; S       
633; 5G2412 _MMGD ;2412; S       
634; 5G2413 _MMGD ;2413; S       
635; 5G2414 _MMGD ;2414; S       
636; 5G2417 _MMGD ;2417; S       
637; 5G2418 _MMGD ;2418; S       
638; 5G2423 _MMGD ;2423; S       
639; 5G2429 _MMGD ;2429; S       
640; 5G2430 _MMGD ;2430; S       
641; 5G2431 _MMGD ;2431; S       
642; 5G2433 _MMGD ;2433; S       
643; 5G2436 _MMGD ;2436; S       
644; 5G2438 _MMGD ;2438; S       
645; 5G2442 _MMGD ;2442; S       
646; 5G2443 _MMGD ;2443; S       
647; 5G2445 _MMGD ;2445; S       
648; 5G2448 _MMGD ;2448; S       
649; 5G2450 _MMGD ;2450; S       
650; 5G2452 _MMGD ;2452; S       
651; 5G2454 _MMGD ;2454; S       
652; 5G2456 _MMGD ;2456; S       
